# 2016-06-06 12:41:52.606402
#
# Simulation of heat flow through 1-dimensional rod
#
# Dimensions
#   dim x =           11
#   min x =           0.0
#   max x =           1.0
#
# Thermodynamical parameters
#   initial temp =    300.0
#   alpha =           1.0
#
# Boundary conditions:
#   method =          Dirichlet
#   x0 order =        1
#   x1 order =        1
#
# Finite differencing
#   num steps =       100000
#   time step =       0.01
#   method =          Implicit
#   write period =    1000
#
Step= 0
       0      300.00000000
       1      300.00000000
       2      300.00000000
       3      300.00000000
       4      300.00000000
       5      300.00000000
       6      300.00000000
       7      300.00000000
       8      300.00000000
       9      300.00000000
      10      300.00000000
Step= 1000
       0     1000.00000000
       1      363.53935587
       2      303.07383815
       3      300.10089976
       4      300.00250348
       5      300.00004991
       6      300.00000083
       7      300.00000001
       8      300.00000000
       9      300.00000000
      10      300.00000000
Step= 2000
       0     1000.00000000
       1      416.07560228
       2      310.84271102
       3      300.69835221
       4      300.03422083
       5      300.00135168
       6      300.00004470
       7      300.00000127
       8      300.00000003
       9      300.00000000
      10      300.00000000
Step= 3000
       0     1000.00000000
       1      459.94559496
       2      321.63143523
       3      302.04991565
       4      300.14883929
       5      300.00874246
       6      300.00043077
       7      300.00001827
       8      300.00000068
       9      300.00000002
      10      300.00000000
Step= 4000
       0     1000.00000000
       1      496.93569453
       2      334.26804845
       3      304.24479732
       4      300.40577980
       5      300.03150073
       6      300.00205598
       7      300.00011568
       8      300.00000572
       9      300.00000025
      10      300.00000000
Step= 5000
       0     1000.00000000
       1      528.41992675
       2      347.93769090
       3      307.27261395
       4      300.85771534
       5      300.08247408
       6      300.00668327
       7      300.00046758
       8      300.00002876
       9      300.00000157
      10      300.00000000
Step= 6000
       0     1000.00000000
       1      555.46194731
       2      362.07872476
       3      311.06776990
       4      301.54525367
       5      300.17661637
       6      300.01705422
       7      300.00142402
       8      300.00010467
       9      300.00000685
      10      300.00000000
Step= 7000
       0     1000.00000000
       1      578.89059315
       2      376.30883274
       3      315.53758511
       4      302.49565836
       5      300.32951864
       6      300.03685122
       7      300.00356969
       8      300.00030473
       9      300.00002314
      10      300.00000000
Step= 8000
       0     1000.00000000
       1      599.35609552
       2      390.37241875
       3      320.57967505
       4      303.72369072
       5      300.55619192
       6      300.07054862
       7      300.00776439
       8      300.00075396
       9      300.00006510
      10      300.00000000
Step= 9000
       0     1000.00000000
       1      617.37208627
       2      404.10316050
       3      326.09229096
       4      305.23342677
       5      300.87018217
       6      300.12319852
       7      300.01516097
