# 2016-06-28 17:09:55.759964
#
# Simulation of heat flow through 1-dimensional rod
# 
# Dimensions
#   dim x =                     11
#   min x =                     0.0
#   max x =                     0.33
# 
# Thermodynamical parameters
#   initial temp =              300.0
#   k c =                       1.95
#   area =                      0.0003877733785771607
#   stop time =                 900.0
#   u amb =                     300.0
#   perim =                     0.0698061887627652
#   emiss =                     0.01
#   power cool =                -10.0
#   power heat =                10.0
#   c =                         380.0
#   rho =                       8730
#   k =                         125.0
# 
# Boundary conditions:
#   method =                    Simple heat-diffusion BC
#   x0 order =                  None
#   x1 order =                  None
# 
# Finite differencing
#   time step =                 0.5
#   method =                    Explicit for simple convection-diffusion equation
# 
Step= 0             Time=       0.0000
Step= 675           Time=     337.5000
       0      322.64990608
       1      316.99955796
       2      312.43210254
       3      308.84856623
       4      306.12386202
       5      304.11937798
       6      302.69584238
       7      301.72456937
       8      301.09594328
       9      300.72487848
      10      300.55371820
Step= 702           Time=     351.0000
       0      323.14653120
       1      317.47583712
       2      312.87000198
       3      309.23470257
       4      306.45068718
       5      304.38535973
       6      302.90478349
       7      301.88439116
       8      301.21731964
       9      300.82004471
      10      300.63563375
Step= 729           Time=     364.5000
       0      323.63306968
       1      317.94321129
       2      313.30113392
       3      309.61676890
       4      306.77624874
       5      304.65260111
       6      303.11697301
       7      302.04883399
       8      301.34413664
       9      300.92106368
      10      300.72355915
Step= 756           Time=     378.0000
       0      324.11006671
       1      318.40212275
       2      313.72576378
       3      309.99482769
       4      307.10043042
       5      304.92086796
       6      303.33213337
       7      302.21764152
       8      301.47619706
       9      301.02780218
      10      300.81740141
Step= 783           Time=     391.5000
       0      324.57802142
       1      318.85298048
       2      314.14414465
       3      310.36895126
       4      307.42314223
       5      305.18995881
       6      303.55001583
       7      302.39057482
       8      301.61330667
       9      301.14011732
      10      300.91705057
Step= 810           Time=     405.0000
       0      325.03739254
       1      319.29616384
       2      314.55651793
       3      310.73921938
       4      307.74431612
       5      305.45970042
       6      303.77039714
       7      302.56741094
       8      301.75527493
       9      301.25785889
      10      301.02238296
Step= 837           Time=     418.5000
       0      325.48860307
       1      319.73202570
       2      314.96311388
       3      311.10571729
       4      308.06390241
       5      305.72994377
       6      303.99307649
       7      302.74794164
       8      301.90191552
       9      301.38087138
      10      301.13326404
Step= 864           Time=     432.0000
       0      325.93204437
       1      320.16089515
       2      315.36415224
       3      311.46853412
       4      308.38186676
       5      306.00056073
       6      304.21787284
       7      302.93197210
       8      302.05304669
       9      301.50899568
