# 2016-06-15 14:21:26.318978

# Simulation of heat flow through 1-dimensional rod
# 
# Dimensions
#   dim x =                  11
#   min x =                  0.0
#   max x =                  1.0
# 
# Thermodynamical parameters
#   initial temp =           300.0
#    power =                     1000.0
#    mass density =              8730
#    perimeter =                 0.0698061887627652
#    emissivity =                0.01
#    u amb =                     300.0
#    specific heat =             380.0
#    area =                      0.0003877733785771607
#    thermal conductivity =      125.0
#    convection coeff =          0.05
#    stop time =                 900.0
# 
#  Boundary conditions:
#    method =                    Simple heat-diffusion BC
#    x0 order =                  None
#    x1 order =                  None
# 
#  Finite differencing
#    time step =                 0.5
#    method =                    Modified implicit for simple convection-diffusion equation
# 
Step= 0
       0      300.00000000
       1      300.00000000
       2      300.00000000
       3      300.00000000
       4      300.00000000
       5      300.00000000
       6      300.00000000
       7      300.00000000
       8      300.00000000
       9      300.00000000
      10      300.00000000
Step= 27
       0      301.04787654
       1      300.00000276
       2      300.00000000
       3      300.00000000
       4      300.00000000
       5      300.00000000
       6      300.00000000
       7      300.00000000
       8      300.00000000
       9      300.00000000
      10      299.99847401
Step= 54
       0      302.09567573
       1      300.00001086
       2      300.00000000
       3      300.00000000
       4      300.00000000
       5      300.00000000
       6      300.00000000
       7      300.00000000
       8      300.00000000
       9      299.99999998
      10      299.99694813
Step= 81
       0      303.14339708
       1      300.00002428
       2      300.00000000
       3      300.00000000
       4      300.00000000
       5      300.00000000
       6      300.00000000
       7      300.00000000
       8      300.00000000
       9      299.99999996
      10      299.99542237
Step= 108
       0      304.19104008
       1      300.00004303
       2      300.00000000
       3      300.00000000
       4      300.00000000
       5      300.00000000
       6      300.00000000
       7      300.00000000
       8      300.00000000
       9      299.99999994
      10      299.99389672
Step= 135
       0      305.23860425
       1      300.00006711
       2      300.00000000
       3      300.00000000
       4      300.00000000
       5      300.00000000
       6      300.00000000
       7      300.00000000
       8      300.00000000
       9      299.99999990
      10      299.99237117
Step= 162
       0      306.28608908
       1      300.00009651
       2      300.00000000
       3      300.00000000
       4      300.00000000
       5      300.00000000
       6      300.00000000
       7      300.00000000
       8      300.00000000
       9      299.99999986
      10      299.99084574
Step= 189
       0      307.33349406
       1      300.00013124
       2      300.00000000
       3      300.00000000
       4      300.00000000
       5      300.00000000
       6      300.00000000
       7      300.00000000
       8      300.00000000
       9      299.99999981
      10      299.98932043
Step= 216
       0      308.38081869
       1      300.00017129
       2      300.00000000
       3      300.00000000
       4      300.00000000
       5      300.00000000
